County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,522	1,533	25.32%	6,055	393	208	34.61%	601
ALACHUA	254	54	17.53%	308	31	16	34.04%	47
BAKER	0	0		0	0	0		0
BAY	54	26	32.50%	80	1	3	75.00%	4
BREVARD	111	53	32.32%	164	0	0		0
BROWARD	370	97	20.77%	467	34	28	45.16%	62
CALHOUN	0	0		0	0	0		0
CHARLOTTE	35	20	36.36%	55	0	0		0
CITRUS	34	6	15.00%	40	0	0		0
CLAY	34	8	19.05%	42	4	2	33.33%	6
COLLIER	49	32	39.51%	81	0	0		0
COLUMBIA	20	2	9.09%	22	0	0		0
DESOTO	5	3	37.50%	8	0	0		0
DUVAL	307	133	30.23%	440	24	16	40.00%	40
ESCAMBIA	107	5	4.46%	112	6	10	62.50%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	56	9	13.85%	65	0	0		0
HIGHLANDS	13	16	55.17%	29	0	0		0
HILLSBOROUGH	346	75	17.81%	421	25	18	41.86%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	16	14	46.67%	30	0	0		0
JACKSON	2	4	66.67%	6	0	0		0
LAKE	62	17	21.52%	79	0	0		0
LEE	112	29	20.57%	141	64	27	29.67%	91
LEON	55	17	23.61%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	55	36	39.56%	91	0	0		0
MARION	73	35	32.41%	108	0	0		0
MARTIN	13	22	62.86%	35	0	0		0
MIAMI-DADE	723	302	29.46%	1,025	68	11	13.92%	79
MONROE	4	10	71.43%	14	0	0		0
NASSAU	5	3	37.50%	8	0	0		0
OKALOOSA	42	12	22.22%	54	0	0		0
OKEECHOBEE	7	1	12.50%	8	0	0		0
ORANGE	238	83	25.86%	321	81	37	31.36%	118
OSCEOLA	79	16	16.84%	95	0	6	100.00%	6
PALM BEACH	303	98	24.44%	401	16	16	50.00%	32
PASCO	115	25	17.86%	140	0	0		0
PINELLAS	267	58	17.85%	325	33	4	10.81%	37
POLK	117	42	26.42%	159	0	0		0
PUTNAM	5	5	50.00%	10	0	0		0
SANTA ROSA	8	11	57.89%	19	0	0		0
SARASOTA	67	28	29.47%	95	0	0		0
SEMINOLE	55	16	22.54%	71	0	0		0
ST. JOHNS	18	26	59.09%	44	0	0		0
ST. LUCIE	79	11	12.22%	90	5	1	16.67%	6
SUMTER	27	13	32.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	149	50	25.13%	199	1	4	80.00%	5
WALTON	15	8	34.78%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
