County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	47,002	12,049	20.40%	59,051
ALACHUA	1,390	262	15.86%	1,652
BAKER	525	100	16.00%	625
BAY	409	106	20.58%	515
BREVARD	1,181	374	24.05%	1,555
BROWARD	4,319	987	18.60%	5,306
CALHOUN	8	2	20.00%	10
CHARLOTTE	462	213	31.56%	675
CITRUS	217	100	31.55%	317
CLAY	324	46	12.43%	370
COLLIER	761	136	15.16%	897
COLUMBIA	127	12	8.63%	139
DESOTO	37	18	32.73%	55
DUVAL	2,943	795	21.27%	3,738
ESCAMBIA	1,027	317	23.59%	1,344
FLAGLER	89	23	20.54%	112
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	2	18	90.00%	20
HARDEE	20	5	20.00%	25
HENDRY	11	18	62.07%	29
HERNANDO	542	211	28.02%	753
HIGHLANDS	198	106	34.87%	304
HILLSBOROUGH	3,450	569	14.16%	4,019
HOLMES	5	15	75.00%	20
INDIAN RIVER	339	143	29.67%	482
JACKSON	46	35	43.21%	81
LAKE	698	161	18.74%	859
LEE	1,503	247	14.11%	1,750
LEON	651	246	27.42%	897
MADISON	8	7	46.67%	15
MANATEE	702	246	25.95%	948
MARION	788	236	23.05%	1,024
MARTIN	260	230	46.94%	490
MIAMI-DADE	6,836	1,735	20.24%	8,571
MONROE	81	39	32.50%	120
NASSAU	24	62	72.09%	86
OKALOOSA	352	105	22.98%	457
OKEECHOBEE	59	41	41.00%	100
ORANGE	3,351	396	10.57%	3,747
OSCEOLA	890	176	16.51%	1,066
PALM BEACH	3,080	1,060	25.60%	4,140
PASCO	1,168	248	17.51%	1,416
PINELLAS	2,381	498	17.30%	2,879
POLK	1,368	188	12.08%	1,556
PUTNAM	63	21	25.00%	84
SANTA ROSA	140	194	58.08%	334
SARASOTA	1,053	220	17.28%	1,273
SEMINOLE	699	178	20.30%	877
ST. JOHNS	175	159	47.60%	334
ST. LUCIE	770	126	14.06%	896
SUMTER	221	126	36.31%	347
SUWANNEE	0	0		0
TAYLOR	6	10	62.50%	16
UNION	67	51	43.22%	118
VOLUSIA	1,079	334	23.64%	1,413
WALTON	57	64	52.89%	121
WASHINGTON	40	19	32.20%	59
