County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,232	1,668	28.27%	5,900	346	236	40.55%	582
ALACHUA	242	66	21.43%	308	36	11	23.40%	47
BAKER	0	0		0	0	0		0
BAY	46	24	34.29%	70	0	4	100.00%	4
BREVARD	107	71	39.89%	178	0	0		0
BROWARD	356	129	26.60%	485	33	36	52.17%	69
CALHOUN	0	0		0	0	0		0
CHARLOTTE	39	18	31.58%	57	0	0		0
CITRUS	27	13	32.50%	40	0	0		0
CLAY	35	6	14.63%	41	4	2	33.33%	6
COLLIER	53	26	32.91%	79	0	0		0
COLUMBIA	22	1	4.35%	23	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	286	154	35.00%	440	26	14	35.00%	40
ESCAMBIA	97	15	13.39%	112	5	11	68.75%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	49	20	28.99%	69	0	0		0
HIGHLANDS	21	14	40.00%	35	0	0		0
HILLSBOROUGH	323	82	20.25%	405	15	29	65.91%	44
HOLMES	0	0		0	0	0		0
INDIAN RIVER	18	14	43.75%	32	0	0		0
JACKSON	4	2	33.33%	6	0	0		0
LAKE	62	19	23.46%	81	0	0		0
LEE	116	34	22.67%	150	65	21	24.42%	86
LEON	48	24	33.33%	72	0	9	100.00%	9
MADISON	0	0		0	0	0		0
MANATEE	63	28	30.77%	91	0	0		0
MARION	74	33	30.84%	107	0	0		0
MARTIN	14	21	60.00%	35	0	0		0
MIAMI-DADE	708	271	27.68%	979	52	19	26.76%	71
MONROE	6	8	57.14%	14	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	44	10	18.52%	54	0	0		0
OKEECHOBEE	10	0	0.00%	10	0	0		0
ORANGE	175	105	37.50%	280	60	40	40.00%	100
OSCEOLA	76	22	22.45%	98	1	5	83.33%	6
PALM BEACH	233	102	30.45%	335	14	18	56.25%	32
PASCO	113	31	21.53%	144	0	0		0
PINELLAS	258	70	21.34%	328	31	10	24.39%	41
POLK	92	32	25.81%	124	0	0		0
PUTNAM	5	5	50.00%	10	0	0		0
SANTA ROSA	9	13	59.09%	22	0	0		0
SARASOTA	46	41	47.13%	87	0	0		0
SEMINOLE	54	19	26.03%	73	0	0		0
ST. JOHNS	17	27	61.36%	44	0	0		0
ST. LUCIE	69	21	23.33%	90	4	2	33.33%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	149	46	23.59%	195	0	5	100.00%	5
WALTON	9	14	60.87%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
