County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	46,189	13,347	22.42%	59,536
ALACHUA	1,370	282	17.07%	1,652
BAKER	525	102	16.27%	627
BAY	398	119	23.02%	517
BREVARD	1,208	372	23.54%	1,580
BROWARD	4,169	993	19.24%	5,162
CALHOUN	5	5	50.00%	10
CHARLOTTE	448	274	37.95%	722
CITRUS	204	114	35.85%	318
CLAY	456	84	15.56%	540
COLLIER	746	302	28.82%	1,048
COLUMBIA	137	11	7.43%	148
DESOTO	40	15	27.27%	55
DUVAL	2,833	1,043	26.91%	3,876
ESCAMBIA	1,039	303	22.58%	1,342
FLAGLER	91	21	18.75%	112
FRANKLIN	0	15	100.00%	15
GADSDEN	0	0		0
GULF	12	30	71.43%	42
HARDEE	22	3	12.00%	25
HENDRY	8	21	72.41%	29
HERNANDO	530	198	27.20%	728
HIGHLANDS	182	112	38.10%	294
HILLSBOROUGH	3,381	594	14.94%	3,975
HOLMES	6	14	70.00%	20
INDIAN RIVER	302	180	37.34%	482
JACKSON	41	40	49.38%	81
LAKE	684	144	17.39%	828
LEE	1,499	221	12.85%	1,720
LEON	646	251	27.98%	897
MADISON	8	7	46.67%	15
MANATEE	696	251	26.50%	947
MARION	765	253	24.85%	1,018
MARTIN	259	231	47.14%	490
MIAMI-DADE	6,625	1,979	23.00%	8,604
MONROE	69	53	43.44%	122
NASSAU	25	61	70.93%	86
OKALOOSA	345	116	25.16%	461
OKEECHOBEE	56	44	44.00%	100
ORANGE	3,313	438	11.68%	3,751
OSCEOLA	871	212	19.58%	1,083
PALM BEACH	3,012	1,167	27.93%	4,179
PASCO	1,108	305	21.59%	1,413
PINELLAS	2,402	514	17.63%	2,916
POLK	1,295	236	15.41%	1,531
PUTNAM	56	28	33.33%	84
SANTA ROSA	136	200	59.52%	336
SARASOTA	1,043	242	18.83%	1,285
SEMINOLE	709	187	20.87%	896
ST. JOHNS	165	163	49.70%	328
ST. LUCIE	763	129	14.46%	892
SUMTER	203	144	41.50%	347
SUWANNEE	0	0		0
TAYLOR	6	10	62.50%	16
UNION	64	55	46.22%	119
VOLUSIA	1,045	350	25.09%	1,395
WALTON	126	92	42.20%	218
WASHINGTON	42	17	28.81%	59
