County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	4,866	1,253	20.48%	6,119	385	201	34.30%	586
ALACHUA	263	45	14.61%	308	34	13	27.66%	47
BAKER	0	0		0	0	0		0
BAY	56	6	9.68%	62	1	3	75.00%	4
BREVARD	129	48	27.12%	177	0	0		0
BROWARD	399	78	16.35%	477	27	29	51.79%	56
CALHOUN	0	0		0	0	0		0
CHARLOTTE	44	5	10.20%	49	0	0		0
CITRUS	37	3	7.50%	40	0	0		0
CLAY	40	2	4.76%	42	2	4	66.67%	6
COLLIER	55	127	69.78%	182	0	0		0
COLUMBIA	14	2	12.50%	16	0	0		0
DESOTO	8	0	0.00%	8	0	0		0
DUVAL	323	89	21.60%	412	31	13	29.55%	44
ESCAMBIA	113	5	4.24%	118	8	8	50.00%	16
FLAGLER	11	7	38.89%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	54	11	16.92%	65	0	0		0
HIGHLANDS	19	14	42.42%	33	0	0		0
HILLSBOROUGH	387	33	7.86%	420	22	20	47.62%	42
HOLMES	0	0		0	0	0		0
INDIAN RIVER	21	9	30.00%	30	0	0		0
JACKSON	1	5	83.33%	6	0	0		0
LAKE	75	16	17.58%	91	0	0		0
LEE	128	11	7.91%	139	64	22	25.58%	86
LEON	58	14	19.44%	72	4	5	55.56%	9
MADISON	0	0		0	0	0		0
MANATEE	57	31	35.23%	88	0	0		0
MARION	75	32	29.91%	107	0	0		0
MARTIN	11	24	68.57%	35	0	0		0
MIAMI-DADE	779	224	22.33%	1,003	59	20	25.32%	79
MONROE	3	11	78.57%	14	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	46	12	20.69%	58	0	0		0
OKEECHOBEE	5	3	37.50%	8	0	0		0
ORANGE	262	61	18.89%	323	77	31	28.70%	108
OSCEOLA	98	12	10.91%	110	0	6	100.00%	6
PALM BEACH	317	91	22.30%	408	17	15	46.88%	32
PASCO	104	29	21.80%	133	0	0		0
PINELLAS	272	33	10.82%	305	36	4	10.00%	40
POLK	136	9	6.21%	145	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	6	13	68.42%	19	0	0		0
SARASOTA	82	30	26.79%	112	0	0		0
SEMINOLE	58	15	20.55%	73	0	0		0
ST. JOHNS	23	21	47.73%	44	0	0		0
ST. LUCIE	85	5	5.56%	90	3	3	50.00%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	157	44	21.89%	201	0	5	100.00%	5
WALTON	7	13	65.00%	20	0	0		0
WASHINGTON	0	0		0	0	0		0
