County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,629	1,416	23.42%	6,045	387	240	38.28%	627
ALACHUA	268	40	12.99%	308	31	16	34.04%	47
BAKER	0	0		0	0	0		0
BAY	51	11	17.74%	62	0	4	100.00%	4
BREVARD	118	44	27.16%	162	0	0		0
BROWARD	354	118	25.00%	472	33	32	49.23%	65
CALHOUN	0	0		0	0	0		0
CHARLOTTE	36	19	34.55%	55	0	0		0
CITRUS	29	11	27.50%	40	0	0		0
CLAY	31	11	26.19%	42	3	3	50.00%	6
COLLIER	56	24	30.00%	80	0	0		0
COLUMBIA	22	2	8.33%	24	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	336	105	23.81%	441	23	17	42.50%	40
ESCAMBIA	111	7	5.93%	118	10	7	41.18%	17
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	51	16	23.88%	67	0	0		0
HIGHLANDS	23	15	39.47%	38	0	0		0
HILLSBOROUGH	339	81	19.29%	420	24	21	46.67%	45
HOLMES	0	0		0	0	0		0
INDIAN RIVER	20	10	33.33%	30	0	0		0
JACKSON	2	4	66.67%	6	0	0		0
LAKE	71	18	20.22%	89	0	0		0
LEE	111	33	22.92%	144	58	34	36.96%	92
LEON	52	20	27.78%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	58	33	36.26%	91	0	0		0
MARION	76	32	29.63%	108	0	0		0
MARTIN	13	22	62.86%	35	0	0		0
MIAMI-DADE	717	260	26.61%	977	68	10	12.82%	78
MONROE	5	9	64.29%	14	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	41	13	24.07%	54	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	246	66	21.15%	312	71	56	44.09%	127
OSCEOLA	73	25	25.51%	98	0	6	100.00%	6
PALM BEACH	310	91	22.69%	401	18	14	43.75%	32
PASCO	125	19	13.19%	144	0	0		0
PINELLAS	281	42	13.00%	323	42	6	12.50%	48
POLK	111	48	30.19%	159	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	8	13	61.90%	21	0	0		0
SARASOTA	74	40	35.09%	114	0	0		0
SEMINOLE	55	17	23.61%	72	0	0		0
ST. JOHNS	23	21	47.73%	44	0	0		0
ST. LUCIE	80	10	11.11%	90	5	1	16.67%	6
SUMTER	34	6	15.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	164	39	19.21%	203	0	5	100.00%	5
WALTON	14	9	39.13%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
