County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,714	1,325	21.94%	6,039	384	223	36.74%	607
ALACHUA	271	37	12.01%	308	32	15	31.91%	47
BAKER	0	0		0	0	0		0
BAY	54	8	12.90%	62	0	4	100.00%	4
BREVARD	122	41	25.15%	163	0	0		0
BROWARD	374	108	22.41%	482	31	29	48.33%	60
CALHOUN	0	0		0	0	0		0
CHARLOTTE	38	16	29.63%	54	0	0		0
CITRUS	34	6	15.00%	40	0	0		0
CLAY	34	8	19.05%	42	1	5	83.33%	6
COLLIER	51	30	37.04%	81	0	0		0
COLUMBIA	16	2	11.11%	18	0	0		0
DESOTO	6	2	25.00%	8	0	0		0
DUVAL	340	93	21.48%	433	24	16	40.00%	40
ESCAMBIA	113	5	4.24%	118	7	9	56.25%	16
FLAGLER	15	3	16.67%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	50	15	23.08%	65	0	0		0
HIGHLANDS	23	14	37.84%	37	0	0		0
HILLSBOROUGH	357	68	16.00%	425	27	18	40.00%	45
HOLMES	0	0		0	0	0		0
INDIAN RIVER	19	11	36.67%	30	0	0		0
JACKSON	1	5	83.33%	6	0	0		0
LAKE	74	18	19.57%	92	0	0		0
LEE	106	28	20.90%	134	59	32	35.16%	91
LEON	53	19	26.39%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	57	35	38.04%	92	0	0		0
MARION	71	36	33.64%	107	0	0		0
MARTIN	12	23	65.71%	35	0	0		0
MIAMI-DADE	713	263	26.95%	976	71	10	12.35%	81
MONROE	6	8	57.14%	14	0	0		0
NASSAU	8	0	0.00%	8	0	0		0
OKALOOSA	43	11	20.37%	54	0	0		0
OKEECHOBEE	5	3	37.50%	8	0	0		0
ORANGE	257	52	16.83%	309	73	43	37.07%	116
OSCEOLA	78	23	22.77%	101	0	6	100.00%	6
PALM BEACH	319	96	23.13%	415	12	20	62.50%	32
PASCO	125	15	10.71%	140	0	0		0
PINELLAS	291	33	10.19%	324	41	2	4.65%	43
POLK	122	37	23.27%	159	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	7	13	65.00%	20	0	0		0
SARASOTA	75	40	34.78%	115	0	0		0
SEMINOLE	56	17	23.29%	73	0	0		0
ST. JOHNS	20	24	54.55%	44	0	0		0
ST. LUCIE	80	10	11.11%	90	3	3	50.00%	6
SUMTER	33	7	17.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	165	29	14.95%	194	0	5	100.00%	5
WALTON	12	11	47.83%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
