County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,728	1,443	23.38%	6,171	413	194	31.96%	607
ALACHUA	269	39	12.66%	308	40	7	14.89%	47
BAKER	0	0		0	0	0		0
BAY	51	29	36.25%	80	3	1	25.00%	4
BREVARD	133	34	20.36%	167	0	0		0
BROWARD	351	128	26.72%	479	34	35	50.72%	69
CALHOUN	0	0		0	0	0		0
CHARLOTTE	45	10	18.18%	55	0	0		0
CITRUS	36	4	10.00%	40	0	0		0
CLAY	38	4	9.52%	42	2	4	66.67%	6
COLLIER	55	24	30.38%	79	0	0		0
COLUMBIA	18	0	0.00%	18	0	0		0
DESOTO	3	5	62.50%	8	0	0		0
DUVAL	300	140	31.82%	440	26	14	35.00%	40
ESCAMBIA	99	13	11.61%	112	3	14	82.35%	17
FLAGLER	8	10	55.56%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	49	18	26.87%	67	0	0		0
HIGHLANDS	15	44	74.58%	59	0	0		0
HILLSBOROUGH	397	70	14.99%	467	27	20	42.55%	47
HOLMES	0	0		0	0	0		0
INDIAN RIVER	21	13	38.24%	34	0	0		0
JACKSON	5	1	16.67%	6	0	0		0
LAKE	68	14	17.07%	82	0	0		0
LEE	131	24	15.48%	155	73	18	19.78%	91
LEON	55	17	23.61%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	61	31	33.70%	92	0	0		0
MARION	85	22	20.56%	107	0	0		0
MARTIN	13	26	66.67%	39	0	0		0
MIAMI-DADE	730	253	25.74%	983	76	8	9.52%	84
MONROE	6	8	57.14%	14	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	51	4	7.27%	55	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	244	64	20.78%	308	68	36	34.62%	104
OSCEOLA	68	34	33.33%	102	1	5	83.33%	6
PALM BEACH	350	63	15.25%	413	20	12	37.50%	32
PASCO	115	22	16.06%	137	0	0		0
PINELLAS	253	73	22.39%	326	35	5	12.50%	40
POLK	144	37	20.44%	181	0	0		0
PUTNAM	8	2	20.00%	10	0	0		0
SANTA ROSA	14	8	36.36%	22	0	0		0
SARASOTA	62	44	41.51%	106	0	0		0
SEMINOLE	61	9	12.86%	70	0	0		0
ST. JOHNS	25	19	43.18%	44	0	0		0
ST. LUCIE	81	9	10.00%	90	4	2	33.33%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	150	55	26.83%	205	0	5	100.00%	5
WALTON	14	9	39.13%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
