County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,630	1,384	23.01%	6,014	380	220	36.67%	600
ALACHUA	263	45	14.61%	308	42	5	10.64%	47
BAKER	0	0		0	0	0		0
BAY	58	8	12.12%	66	3	1	25.00%	4
BREVARD	118	48	28.92%	166	0	0		0
BROWARD	355	119	25.11%	474	41	34	45.33%	75
CALHOUN	0	0		0	0	0		0
CHARLOTTE	35	20	36.36%	55	0	0		0
CITRUS	33	7	17.50%	40	0	0		0
CLAY	36	6	14.29%	42	3	3	50.00%	6
COLLIER	55	24	30.38%	79	0	0		0
COLUMBIA	19	2	9.52%	21	0	0		0
DESOTO	4	4	50.00%	8	0	0		0
DUVAL	306	134	30.45%	440	24	16	40.00%	40
ESCAMBIA	98	14	12.50%	112	6	10	62.50%	16
FLAGLER	16	2	11.11%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	53	18	25.35%	71	0	0		0
HIGHLANDS	17	17	50.00%	34	0	0		0
HILLSBOROUGH	351	51	12.69%	402	21	22	51.16%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	18	14	43.75%	32	0	0		0
JACKSON	5	1	16.67%	6	0	0		0
LAKE	61	19	23.75%	80	0	0		0
LEE	121	36	22.93%	157	64	21	24.71%	85
LEON	54	18	25.00%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	68	28	29.17%	96	0	0		0
MARION	82	26	24.07%	108	0	0		0
MARTIN	13	22	62.86%	35	0	0		0
MIAMI-DADE	744	232	23.77%	976	64	15	18.99%	79
MONROE	9	5	35.71%	14	0	0		0
NASSAU	5	3	37.50%	8	0	0		0
OKALOOSA	50	5	9.09%	55	0	0		0
OKEECHOBEE	10	0	0.00%	10	0	0		0
ORANGE	238	70	22.73%	308	56	45	44.55%	101
OSCEOLA	75	29	27.88%	104	0	6	100.00%	6
PALM BEACH	332	79	19.22%	411	11	21	65.63%	32
PASCO	116	28	19.44%	144	0	0		0
PINELLAS	266	61	18.65%	327	38	8	17.39%	46
POLK	121	19	13.57%	140	0	0		0
PUTNAM	7	3	30.00%	10	0	0		0
SANTA ROSA	12	10	45.45%	22	0	0		0
SARASOTA	53	43	44.79%	96	0	0		0
SEMINOLE	57	16	21.92%	73	0	0		0
ST. JOHNS	22	22	50.00%	44	0	0		0
ST. LUCIE	79	11	12.22%	90	4	2	33.33%	6
SUMTER	32	8	20.00%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	153	44	22.34%	197	0	5	100.00%	5
WALTON	10	13	56.52%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
