County	Adult ICU Census	Available Adult ICU	Available Adult ICU 1	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 1	Total PediatricICU Capacity
Grand Total	4,578	1,451	24.07%	6,029	369	296	44.51%	665
ALACHUA	271	37	12.01%	308	33	14	29.79%	47
BAKER	0	0		0	0	0		0
BAY	52	10	16.13%	62	1	3	75.00%	4
BREVARD	111	50	31.06%	161	0	0		0
BROWARD	404	76	15.83%	480	37	25	40.32%	62
CALHOUN	0	0		0	0	0		0
CHARLOTTE	33	16	32.65%	49	0	0		0
CITRUS	30	10	25.00%	40	0	0		0
CLAY	35	6	14.63%	41	2	4	66.67%	6
COLLIER	56	24	30.00%	80	0	0		0
COLUMBIA	10	1	9.09%	11	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	317	121	27.63%	438	21	19	47.50%	40
ESCAMBIA	109	9	7.63%	118	2	14	87.50%	16
FLAGLER	8	10	55.56%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	55	14	20.29%	69	0	0		0
HIGHLANDS	22	14	38.89%	36	0	0		0
HILLSBOROUGH	334	100	23.04%	434	20	23	53.49%	43
HOLMES	0	0		0	0	0		0
INDIAN RIVER	13	17	56.67%	30	0	0		0
JACKSON	3	3	50.00%	6	0	0		0
LAKE	63	22	25.88%	85	0	0		0
LEE	81	38	31.93%	119	55	29	34.52%	84
LEON	48	24	33.33%	72	1	8	88.89%	9
MADISON	0	0		0	0	0		0
MANATEE	67	28	29.47%	95	0	0		0
MARION	75	33	30.56%	108	0	0		0
MARTIN	10	25	71.43%	35	0	0		0
MIAMI-DADE	725	264	26.69%	989	65	14	17.72%	79
MONROE	2	11	84.62%	13	0	0		0
NASSAU	7	1	12.50%	8	0	0		0
OKALOOSA	50	6	10.71%	56	0	0		0
OKEECHOBEE	6	2	25.00%	8	0	0		0
ORANGE	255	69	21.30%	324	78	46	37.10%	124
OSCEOLA	70	17	19.54%	87	1	5	83.33%	6
PALM BEACH	302	105	25.80%	407	12	80	86.96%	92
PASCO	118	9	7.09%	127	0	0		0
PINELLAS	249	71	22.19%	320	36	6	14.29%	42
POLK	141	24	14.55%	165	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	10	10	50.00%	20	0	0		0
SARASOTA	66	50	43.10%	116	0	0		0
SEMINOLE	55	13	19.12%	68	0	0		0
ST. JOHNS	17	27	61.36%	44	0	0		0
ST. LUCIE	83	7	7.78%	90	5	1	16.67%	6
SUMTER	31	9	22.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	158	53	25.12%	211	0	5	100.00%	5
WALTON	10	13	56.52%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
