County	Adult ICU Census	Available Adult ICU	Available Adult ICU 	Total AdultICU Capacity	Pediatric ICU Census	Available Pediatric ICU	Available Pediatric ICU 	Total PediatricICU Capacity
Grand Total	5,022	1,049	17.28%	6,071	405	184	31.24%	589
ALACHUA	275	33	10.71%	308	35	12	25.53%	47
BAKER	0	0		0	0	0		0
BAY	57	3	5.00%	60	2	2	50.00%	4
BREVARD	122	45	26.95%	167	0	0		0
BROWARD	407	69	14.50%	476	32	19	37.25%	51
CALHOUN	0	0		0	0	0		0
CHARLOTTE	37	12	24.49%	49	0	0		0
CITRUS	31	6	16.22%	37	0	0		0
CLAY	38	4	9.52%	42	2	4	66.67%	6
COLLIER	60	21	25.93%	81	0	0		0
COLUMBIA	20	2	9.09%	22	0	0		0
DESOTO	7	1	12.50%	8	0	0		0
DUVAL	359	68	15.93%	427	31	13	29.55%	44
ESCAMBIA	111	7	5.93%	118	6	10	62.50%	16
FLAGLER	11	7	38.89%	18	0	0		0
FRANKLIN	0	0		0	0	0		0
GADSDEN	0	0		0	0	0		0
GULF	0	0		0	0	0		0
HARDEE	0	0		0	0	0		0
HENDRY	0	0		0	0	0		0
HERNANDO	52	15	22.39%	67	0	0		0
HIGHLANDS	21	15	41.67%	36	0	0		0
HILLSBOROUGH	376	38	9.18%	414	32	14	30.43%	46
HOLMES	0	0		0	0	0		0
INDIAN RIVER	18	14	43.75%	32	0	0		0
JACKSON	4	2	33.33%	6	0	0		0
LAKE	72	17	19.10%	89	0	0		0
LEE	123	15	10.87%	138	61	25	29.07%	86
LEON	61	11	15.28%	72	3	6	66.67%	9
MADISON	0	0		0	0	0		0
MANATEE	62	30	32.61%	92	0	0		0
MARION	76	30	28.30%	106	0	0		0
MARTIN	14	21	60.00%	35	0	0		0
MIAMI-DADE	837	198	19.13%	1,035	60	19	24.05%	79
MONROE	7	7	50.00%	14	0	0		0
NASSAU	6	2	25.00%	8	0	0		0
OKALOOSA	47	10	17.54%	57	0	0		0
OKEECHOBEE	8	0	0.00%	8	0	0		0
ORANGE	272	51	15.79%	323	77	30	28.04%	107
OSCEOLA	96	9	8.57%	105	0	6	100.00%	6
PALM BEACH	320	90	21.95%	410	19	13	40.63%	32
PASCO	122	7	5.43%	129	0	0		0
PINELLAS	282	29	9.32%	311	41	5	10.87%	46
POLK	149	10	6.29%	159	0	0		0
PUTNAM	9	1	10.00%	10	0	0		0
SANTA ROSA	5	12	70.59%	17	0	0		0
SARASOTA	77	35	31.25%	112	0	0		0
SEMINOLE	56	14	20.00%	70	0	0		0
ST. JOHNS	25	19	43.18%	44	0	0		0
ST. LUCIE	87	3	3.33%	90	4	2	33.33%	6
SUMTER	31	9	22.50%	40	0	0		0
SUWANNEE	0	0		0	0	0		0
TAYLOR	0	0		0	0	0		0
UNION	0	0		0	0	0		0
VOLUSIA	162	44	21.36%	206	0	4	100.00%	4
WALTON	10	13	56.52%	23	0	0		0
WASHINGTON	0	0		0	0	0		0
