County	Bed Census	Available	Available Capacity	Total Staffed Bed Capacity
Grand Total	45,894	14,242	23.68%	60,136
ALACHUA	1,405	255	15.36%	1,660
BAKER	531	94	15.04%	625
BAY	406	124	23.40%	530
BREVARD	1,173	393	25.10%	1,566
BROWARD	4,113	1,237	23.12%	5,350
CALHOUN	5	5	50.00%	10
CHARLOTTE	454	267	37.03%	721
CITRUS	222	101	31.27%	323
CLAY	419	75	15.18%	494
COLLIER	722	150	17.20%	872
COLUMBIA	114	20	14.93%	134
DESOTO	34	21	38.18%	55
DUVAL	2,727	1,194	30.45%	3,921
ESCAMBIA	1,008	343	25.39%	1,351
FLAGLER	93	19	16.96%	112
FRANKLIN	1	14	93.33%	15
GADSDEN	0	0		0
GULF	5	16	76.19%	21
HARDEE	22	3	12.00%	25
HENDRY	17	12	41.38%	29
HERNANDO	465	266	36.39%	731
HIGHLANDS	183	110	37.54%	293
HILLSBOROUGH	3,324	867	20.69%	4,191
HOLMES	8	12	60.00%	20
INDIAN RIVER	326	133	28.98%	459
JACKSON	35	46	56.79%	81
LAKE	651	211	24.48%	862
LEE	1,455	354	19.57%	1,809
LEON	646	251	27.98%	897
MADISON	8	7	46.67%	15
MANATEE	656	171	20.68%	827
MARION	751	346	31.54%	1,097
MARTIN	246	244	49.80%	490
MIAMI-DADE	6,449	2,059	24.20%	8,508
MONROE	85	34	28.57%	119
NASSAU	40	46	53.49%	86
OKALOOSA	370	87	19.04%	457
OKEECHOBEE	56	44	44.00%	100
ORANGE	3,340	439	11.62%	3,779
OSCEOLA	821	202	19.75%	1,023
PALM BEACH	3,069	1,049	25.47%	4,118
PASCO	1,206	239	16.54%	1,445
PINELLAS	2,578	882	25.49%	3,460
POLK	1,291	258	16.66%	1,549
PUTNAM	59	25	29.76%	84
SANTA ROSA	117	203	63.44%	320
SARASOTA	1,071	276	20.49%	1,347
SEMINOLE	711	177	19.93%	888
ST. JOHNS	169	163	49.10%	332
ST. LUCIE	754	130	14.71%	884
SUMTER	207	140	40.35%	347
SUWANNEE	0	0		0
TAYLOR	4	12	75.00%	16
UNION	71	30	29.70%	101
VOLUSIA	1,092	319	22.61%	1,411
WALTON	62	55	47.01%	117
WASHINGTON	47	12	20.34%	59
